date,species,species_tree,species_plotting,finclip,mass_g,temp,salinity,alpha,p_atm,expt_period,time_min,percent_sat,po2_torr,delta_umol_per_sec,start_sel,stop_sel,duration_sel_sec
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,3.9,88.3034,142.9208,-0.0081,01:30.0,06:15.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,16.2083,86.0822,139.3259,-0.0093,13:45.0,18:30.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,30.6587,84.6741,137.0467,-0.0086,28:00.0,33:00.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,44.855,85.6267,138.5886,-0.0085,42:15.0,47:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,58.7976,85.8372,138.9292,-0.0088,56:00.0,01:00.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,72.9925,85.7369,138.7669,-0.0091,10:15.0,15:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,87.0642,85.859,138.9646,-0.0088,24:15.0,29:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,101.6341,86.6924,140.3135,-0.0074,38:30.0,43:45.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,115.7042,85.7619,138.8074,-0.0087,52:45.0,57:30.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,129.65,86.9039,140.6557,-0.0084,06:30.0,11:30.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,143.5977,87.3747,141.4178,-0.008,20:15.0,25:30.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,157.7905,88.1205,142.6248,-0.0081,34:30.0,39:30.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,172.4875,87.269,141.2466,-0.0091,49:15.0,54:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,186.5592,88.2793,142.8819,-0.0076,03:15.0,08:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,200.5043,86.4723,139.9572,-0.0088,16:45.0,22:15.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,214.8254,87.5331,141.6741,-0.0082,31:30.0,36:00.0,285
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,228.7694,87.6026,141.7866,-0.008,44:45.0,50:30.0,360
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,242.9667,87.2414,141.2021,-0.0085,59:00.0,04:30.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,256.9121,87.8953,142.2603,-0.0083,13:00.0,18:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,271.3587,87.186,141.1124,-0.0087,27:30.0,32:30.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,285.5542,87.612,141.8018,-0.0087,41:45.0,46:30.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,299.8775,87.5084,141.6342,-0.0082,56:00.0,00:45.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,314.0746,87.6618,141.8825,-0.0083,10:00.0,15:00.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,328.1413,87.3809,141.4278,-0.0084,23:45.0,29:15.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,342.2119,86.4909,139.9874,-0.0082,38:00.0,43:00.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,356.4067,87.7394,142.008,-0.0088,52:15.0,57:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,370.4773,87.5952,141.7746,-0.0088,06:00.0,11:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,384.7966,87.462,141.5591,-0.0092,20:30.0,25:15.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,398.8659,88.8395,143.7885,-0.0075,34:15.0,39:30.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,413.0588,87.6167,141.8094,-0.0088,48:45.0,53:15.0,285
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,427.3807,86.7015,140.3282,-0.0099,03:00.0,07:30.0,285
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,441.4535,87.3445,141.3689,-0.0092,17:00.0,21:30.0,285
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,455.5225,86.9654,140.7552,-0.0089,30:30.0,36:00.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,469.7167,87.0045,140.8185,-0.0096,44:45.0,50:00.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,483.7863,86.8948,140.6411,-0.009,58:45.0,04:00.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,497.9841,86.9607,140.7477,-0.0095,13:00.0,18:00.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,512.3071,86.6903,140.3101,-0.01,27:15.0,32:15.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,526.2508,87.1195,141.0047,-0.0096,41:00.0,46:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,540.322,87.5654,141.7264,-0.009,55:00.0,00:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,554.5174,87.3231,141.3343,-0.0087,09:00.0,14:30.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,568.7136,86.7967,140.4823,-0.0098,23:15.0,28:30.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,583.0349,87.2109,141.1527,-0.0094,37:30.0,42:45.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,597.1053,86.7515,140.4091,-0.0096,51:30.0,56:45.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,611.1765,87.2945,141.2879,-0.009,05:30.0,10:45.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,625.4975,86.7818,140.4582,-0.0095,20:00.0,24:45.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,639.8174,86.5058,140.0114,-0.0098,34:00.0,39:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,653.8892,87.8128,142.1269,-0.0096,48:15.0,53:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,668.0833,86.3062,139.6883,-0.0099,02:15.0,07:15.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,682.0296,87.0117,140.8303,-0.0097,16:00.0,21:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,696.2262,86.5231,140.0394,-0.0103,30:15.0,35:15.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,710.6733,86.3755,139.8005,-0.0104,44:45.0,49:30.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,724.4916,87.0313,140.8619,-0.009,58:15.0,03:30.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,739.0652,85.5456,138.4573,-0.0102,12:45.0,18:00.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,753.0079,85.9058,139.0404,-0.0099,26:45.0,31:45.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,767.4549,85.2809,138.0288,-0.0103,41:15.0,46:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,781.4024,87.0287,140.8578,-0.0096,55:00.0,00:00.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,795.473,86.3407,139.7442,-0.0105,09:00.0,14:00.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,809.9183,86.7992,140.4864,-0.01,23:30.0,28:15.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,823.7379,87.2906,141.2817,-0.0093,37:00.0,42:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,838.0617,86.095,139.3465,-0.0102,51:30.0,56:15.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,852.0072,86.6403,140.2291,-0.0096,05:00.0,10:30.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,866.2022,87.3397,141.3611,-0.0093,19:15.0,24:30.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,880.5258,86.7773,140.4508,-0.0092,33:30.0,38:45.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,894.7301,86.8351,140.5445,-0.0098,47:45.0,52:45.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,908.8032,87.1614,141.0726,-0.0099,01:45.0,06:45.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,922.8703,86.2478,139.5938,-0.0108,15:30.0,21:00.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,937.1906,86.6283,140.2096,-0.0103,29:45.0,35:15.0,345
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,951.1356,87.6374,141.8429,-0.0096,43:45.0,49:00.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,965.4591,88.841,143.791,-0.0094,58:15.0,03:00.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,979.9071,88.9755,144.0086,-0.0098,12:45.0,17:15.0,285
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,993.5992,88,142.4299,-0.0099,26:00.0,31:15.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,1007.9174,87.7857,142.083,-0.0096,40:15.0,45:30.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,1022.1143,87.8902,142.2522,-0.0097,54:30.0,59:30.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,1036.5617,88.6585,143.4956,-0.011,09:00.0,13:45.0,300
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,1050.3796,88.5788,143.3666,-0.009,22:30.0,27:45.0,330
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,103,smr,1064.5746,88.6052,143.4094,-0.0099,36:45.0,41:45.0,315
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1075.8833,92.0298,148.9521,-0.0073,49:30.0,51:30.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1078.1444,83.9456,135.8678,-0.0107,51:45.0,53:45.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1080.4037,72.9515,118.0735,-0.0122,54:00.0,56:00.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1082.6666,62.1038,100.5163,-0.0115,56:15.0,58:15.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1084.9296,52.0576,84.2563,-0.0106,58:30.0,00:30.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1087.187,42.9903,69.5807,-0.0088,00:45.0,02:45.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1089.45,35.0578,56.7418,-0.0076,03:00.0,05:00.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1091.713,29.1408,47.165,-0.0057,05:15.0,07:15.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1093.9722,24.311,39.3479,-0.0047,07:30.0,09:30.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1096.2333,20.5537,33.2667,-0.0038,09:45.0,11:45.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1098.4981,17.5722,28.441,-0.0026,12:00.0,14:00.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1100.7537,15.4417,24.9926,-0.0021,14:15.0,16:15.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1103.0167,13.5866,21.9902,-0.0019,16:30.0,18:30.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1105.2796,12.0519,19.5062,-0.0014,18:45.0,20:45.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1107.5408,10.8146,17.5036,-0.0013,21:00.0,23:00.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1109.8,9.9179,16.0523,-0.0009,23:15.0,25:15.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1112.0667,9.3169,15.0796,-0.0004,25:30.0,27:30.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1114.3222,9.0434,14.6369,-0.0004,27:45.0,29:45.0,135
3-Dec-18,olma,Oligocottus_maculosus,Oligocottus maculosus,bottom-blue-sponge-bucket-wt,5,25,35,1.36945,102.8,pcrit,1116.5834,8.8692,14.3549,-0.0003,30:00.0,32:00.0,135
